hidden_size,num_layers,learning_rate,num_epochs,rmse,mae,r2,avg_epoch_time,epoch_times,epoch_losses
32,2,0.05,30,102.59403,76.36049,0.6002510786056519,17.905802235883826,"[19.09862494468689, 17.648801565170288, 17.635234355926514, 17.710429430007935, 17.65201735496521, 17.73167109489441, 17.72895884513855, 17.66271162033081, 17.668694734573364, 17.653639793395996, 17.80763578414917, 17.72999620437622, 18.119999170303345, 18.29921817779541, 18.263063192367554, 18.390615940093994, 17.597325801849365]","[1472.3601687165326, 770.1995920603973, 792.3629083862471, 470.31274878770506, 353.6118565634479, 423.5042199206144, 202.1961004069018, 327.85604419536463, 286.01942243794684, 244.45200189830956, 4094.6799437380255, 19761.33050996872, 10444.50017162806, 9949.607900794417, 9928.554167443488, 9925.322198526308, 9930.074370121853]"
32,2,0.01,30,0.8652746,0.6306103,0.9999814033508301,17.88204623858134,"[17.712137699127197, 17.669976234436035, 17.556334257125854, 17.708470106124878, 17.68582820892334, 17.680216073989868, 17.75073742866516, 17.66464138031006, 17.686293601989746, 17.6804141998291, 17.79289722442627, 17.79458785057068, 18.472155809402466, 18.96755838394165, 18.93319344520569, 18.58984923362732, 17.83104920387268, 17.712320566177368, 17.702291011810303, 17.704190015792847, 17.74150848388672, 17.76052761077881, 17.739665508270264, 17.727867364883423, 17.720447063446045, 17.704140424728394, 17.698510885238647, 17.678314685821533, 17.619866371154785, 18.775396823883057]","[793.651014895158, 66.96069664752119, 42.65122380488304, 31.390036206627386, 18.725716108472522, 15.750758923874868, 11.388608787062386, 9.017823291568321, 11.325992248539597, 9.422846178507928, 8.039648628269026, 7.300813110357183, 6.787571776362429, 6.651305410065424, 6.438906655398271, 6.31360530976016, 6.285579210600214, 6.217268994947851, 6.050913537287165, 5.734801150039809, 5.937250787180779, 5.54432212418595, 5.327439418057739, 5.1561051937178295, 5.167312815340654, 5.254352066652035, 4.922376070504827, 5.025836968970994, 4.75442447271043, 4.810889511362942]"
32,2,0.005,30,0.4534915,0.41274887,0.9999916553497314,17.913030982017517,"[18.97775101661682, 18.965479612350464, 17.62624454498291, 17.731587409973145, 17.70698642730713, 17.65173649787903, 17.643686532974243, 17.745929479599, 17.71088695526123, 17.692755699157715, 17.74175786972046, 17.77719211578369, 17.693053245544434, 17.737053394317627, 17.719898462295532, 18.18233346939087, 18.85423994064331, 18.66299796104431, 18.57869601249695, 17.69603681564331, 17.79500937461853, 17.691035985946655, 17.714564561843872, 17.747166872024536, 17.806983947753906, 17.715301275253296, 17.747028350830078, 17.696628093719482, 17.68256115913391, 17.698346376419067]","[979.1093590544561, 45.98912451782276, 30.443378509717736, 24.165205316211395, 17.637201311943166, 14.21150466106531, 13.737152701066847, 11.709265353762053, 8.539553538814806, 8.23759684212278, 7.283573465189982, 6.184638077114083, 5.283950914981609, 4.599647256148691, 4.066417036851559, 3.8357732782951723, 3.5698037447944673, 3.5122772583882345, 3.327043948269563, 3.214378742436323, 3.0172774086261014, 6.346033983936078, 5.0528661582749095, 3.940351090879956, 3.4023892837556233, 3.0598360511115152, 2.803119940287993, 2.7455894689794476, 2.689024142196425, 2.570464107808141]"
32,2,0.001,30,0.74212354,0.5591159,0.9999823570251465,17.96268219947815,"[17.652109146118164, 17.666483879089355, 18.54641056060791, 18.71017289161682, 18.855381965637207, 18.31904649734497, 17.69763684272766, 17.734070301055908, 17.68935751914978, 17.714547157287598, 17.70904564857483, 17.83153986930847, 17.713181734085083, 17.724830389022827, 17.751746654510498, 17.688359260559082, 17.68362784385681, 17.70160937309265, 17.767976999282837, 18.956502676010132, 18.693124055862427, 18.903963565826416, 17.973426580429077, 17.72435712814331, 17.767924070358276, 17.74550437927246, 17.727412223815918, 17.718716382980347, 17.79356575012207, 17.71883463859558]","[2539.58488494582, 14.349983131952225, 9.601851165766409, 7.6358545141286465, 6.671547856189994, 5.897244568525785, 5.27135806564876, 4.855315462381103, 4.619679529310354, 4.188798973111102, 4.06761839094584, 3.7612626674426437, 3.522343387514125, 3.341439104787436, 3.1413610152316616, 3.046743935694934, 2.8271335167942495, 2.666968822818835, 2.7238058700667507, 2.4463119483400364, 2.392219460243969, 2.366315810561666, 2.265058846276977, 2.304998412080654, 2.097587477728444, 2.1683854070191138, 2.048701060069603, 2.0790214418244495, 1.9492358207096667, 1.9721315672822444]"
32,2,0.0005,30,0.91905934,0.66961896,0.9999746084213257,17.93552267551422,"[17.632891178131104, 17.697272062301636, 17.6125750541687, 17.698226928710938, 17.712605476379395, 18.219778060913086, 18.86447262763977, 18.79939913749695, 18.71787452697754, 17.667683601379395, 17.72273540496826, 17.735970973968506, 17.67902421951294, 17.68613862991333, 17.683476448059082, 17.735824584960938, 17.664705276489258, 17.626240730285645, 17.74790096282959, 17.61633276939392, 17.644519567489624, 17.745391607284546, 18.35065531730652, 18.796624183654785, 18.882128477096558, 18.297835111618042, 17.678895711898804, 17.71755599975586, 17.76601481437683, 17.664930820465088]","[5901.197152747728, 43.06658015169171, 19.954536540474432, 9.483160498669966, 6.675793920444349, 5.197869633401716, 4.184616557415981, 3.7756583838678863, 3.339336655749309, 3.12301507855127, 2.8077546903115236, 2.6768040543698652, 2.4814868338434555, 2.3170753092399297, 2.194016708333582, 2.093475170939852, 1.9818026713953723, 1.8759368397092129, 1.8189650670844884, 1.7699888004905109, 1.6674280239403345, 1.618061930749476, 1.5872721374309398, 1.5415624960348027, 1.4719806297663924, 1.4076491832157687, 1.4079558446070009, 1.3210201524270497, 1.3088368916320798, 1.25055291228948]"
32,2,0.0001,30,1.1834954,1.0309057,0.9999451637268066,17.984454894065856,"[17.60973572731018, 17.760579586029053, 17.607322931289673, 17.689292192459106, 17.628058195114136, 17.712026119232178, 17.684781074523926, 17.60862159729004, 17.743278980255127, 18.95924949645996, 18.968884468078613, 18.765446662902832, 17.917296409606934, 18.246532917022705, 18.284875631332397, 17.878974437713623, 17.69182300567627, 17.727524518966675, 17.748551607131958, 17.666401863098145, 17.639240503311157, 17.659785509109497, 17.696648120880127, 17.66021966934204, 17.648550510406494, 18.204105854034424, 18.988677978515625, 18.825069665908813, 18.676522731781006, 17.635568857192993]","[27103.420166669195, 54.01222336305281, 28.003022318616445, 15.987812899427253, 9.402816135777917, 5.776229641062724, 3.6417958110766118, 2.2665197484024424, 1.6489634224921301, 1.3689034962680955, 1.2008866074812237, 1.1067951453125764, 1.0544681625103163, 1.0012559479938243, 0.9505549386828959, 0.9157483328319883, 0.8793040681762547, 0.8404210086293746, 0.8231512670980677, 0.7873904136534146, 0.7736063826149004, 0.7458094673680637, 0.7168390972130041, 0.702066806911625, 0.6837294742731402, 0.6636566480145867, 0.6448738789706955, 0.6425740362895351, 0.6130523093631409, 0.6009138728325218]"
