hidden_size,num_layers,learning_rate,num_epochs,rmse,mae,r2,avg_epoch_time,epoch_times,epoch_losses
32,3,0.005,30,181.08446,128.22292,-0.061064064502716064,20.431255618731182,"[20.533868312835693, 20.42182445526123, 20.42061948776245, 20.39665126800537, 20.406259775161743, 20.408310413360596]","[668260.6350833277, 66000.58890903257, 35849.611721655165, 35847.55858615392, 35844.283741780244, 35844.83708837251]"
32,3,0.001,30,180.85994,128.41664,-0.058293163776397705,20.397576115348123,"[20.33121109008789, 20.382939338684082, 20.383377075195312, 20.39260745048523, 20.38390326499939, 20.417292833328247, 20.38047695159912, 20.3941867351532, 20.506840705871582, 20.424662828445435, 20.37583899497986]","[1249456.7070483079, 852419.2274580377, 560890.3964332014, 348372.78963393834, 193417.54651145436, 93298.55157923803, 45267.57382828492, 35947.41731761949, 35854.83899585441, 35843.888028873625, 35848.68188916335]"
32,3,0.0005,30,180.83064,128.61082,-0.05840867757797241,20.429307182629902,"[20.482447624206543, 20.4197678565979, 20.450355052947998, 20.448256731033325, 20.506226301193237, 20.56068253517151, 20.405059814453125, 20.375973224639893, 20.45740270614624, 20.419615983963013, 20.36988115310669, 20.40570592880249, 20.37625503540039, 20.3875150680542, 20.48128628730774, 20.361380338668823, 20.37636089324951, 20.44335675239563]","[1363918.3203466157, 1134312.6136735808, 933713.179320756, 761136.1336824509, 615760.2069331673, 493304.8705820142, 386912.78470848117, 294831.7507484136, 217082.84643661298, 153504.34048235364, 104039.35834726391, 68542.29838515368, 46645.46581524845, 37281.00275631034, 35859.37233684157, 35841.13607581526, 35841.13186272367, 35841.37662989188]"
32,3,0.0001,30,631.83044,484.3874,-9.123598098754883,20.414585741360984,"[20.38395380973816, 20.412701845169067, 20.55303716659546, 20.4316189289093, 20.38018226623535, 20.482038736343384, 20.37055802345276, 20.341074466705322, 20.501265048980713, 20.382365703582764, 20.401703357696533, 20.453302145004272, 20.390751838684082, 20.447803735733032, 20.395180463790894, 20.351084232330322, 20.342652082443237, 20.464954614639282, 20.38792324066162, 20.384398460388184, 20.447571754455566, 20.337671518325806, 20.355175971984863, 20.43506932258606, 20.33736801147461, 20.416390895843506, 20.43407678604126, 20.554394006729126, 20.372387886047363, 20.48891592025757]","[1464021.9291416486, 1412481.5673956058, 1362643.4615174672, 1313974.7329250819, 1266459.5536299127, 1220073.0210408706, 1174931.0873703603, 1130883.5042218205, 1088065.6186033024, 1046351.0799757779, 1005806.1018354257, 966398.4144377729, 928226.0371008461, 891180.0367341021, 855264.2284644514, 820547.5533143423, 786960.0387554585, 754563.0180131005, 723270.7061271834, 693127.6365311135, 664122.1018951283, 636243.7453133529, 609479.8345046397, 583639.9915990038, 558624.3750724959, 534255.9405192413, 510509.0622569255, 487337.31989458244, 464744.2649341567, 442746.62578892603]"
32,3,5e-05,30,896.66034,730.2888,-19.71364402770996,21.324060487747193,"[20.426485776901245, 20.498543739318848, 20.399531364440918, 21.74429202079773, 22.698964595794678, 21.8944673538208, 21.943947315216064, 21.401053428649902, 20.566922187805176, 21.118011236190796, 21.069616556167603, 21.073818683624268, 20.850392818450928, 21.24140477180481, 23.120988368988037, 22.36528730392456, 20.9347665309906, 22.30577325820923, 21.045843362808228, 21.934943437576294, 21.6678729057312, 22.485257625579834, 22.501640558242798, 20.92515802383423, 20.430578470230103, 20.546420574188232, 20.632519006729126, 20.673412322998047, 20.609630584716797, 20.614270448684692]","[1477358.9079216702, 1451589.0689478712, 1426773.021970524, 1402288.8685521288, 1378048.5461073963, 1354081.4342760644, 1330362.4824559907, 1306318.1216396014, 1282216.580948076, 1258695.5071131277, 1235453.897106987, 1212473.1874061818, 1189809.8885951147, 1167417.73254128, 1145299.6040870633, 1123503.1871588428, 1101989.1238400654, 1080707.4163397243, 1059853.6905874726, 1039230.1618876228, 1018827.9066252729, 998797.5875409389, 979010.3503684498, 959569.5564529885, 940414.581664506, 921529.8231355759, 902940.5490584061, 884640.7824781659, 866604.556026542, 848897.5361285481]"
32,3,1e-05,30,1197.6304,1077.5938,-38.292327880859375,20.606901025772096,"[20.651773691177368, 20.634475231170654, 20.52685832977295, 20.630802154541016, 20.590595722198486]","[1491994.822871179, 1484966.8427435863, 1479710.2222298034, 1474510.8924843068, 1469334.2681325055]"
32,4,0.05,30,179.15932,129.85144,-0.03585332632064819,22.129874324798585,"[22.11445450782776, 22.123825788497925, 22.10772180557251, 22.15241837501526, 22.150951147079468]","[118267.23469630079, 35865.65526410898, 35866.545363513666, 35864.4494750177, 35868.45154115102]"
32,4,0.01,30,181.17,128.10287,-0.062000155448913574,22.126420429774694,"[22.104011297225952, 22.14989423751831, 22.07692313194275, 22.157559871673584, 22.093060731887817, 22.172486305236816, 22.131007432937622]","[380867.9037243706, 35861.71911594441, 36240.799846532565, 35850.0312188161, 35848.26860639414, 35849.99098585371, 35847.71408347584]"
32,4,0.005,30,180.90378,128.52536,-0.05925661325454712,22.167794624964397,"[22.16721820831299, 22.096914291381836, 22.156587839126587, 22.259727954864502, 22.152008295059204, 22.17431116104126]","[670297.8469184976, 66177.32837620364, 35873.02730350411, 35846.48821141938, 35848.94169470108, 35843.09679162971]"
32,4,0.001,30,180.91852,128.52507,-0.05944734811782837,22.196080749685112,"[22.161569833755493, 22.15957021713257, 22.16059136390686, 22.112109184265137, 22.40736961364746, 22.173566579818726, 22.25186848640442, 22.204965829849243, 22.159894704818726, 22.19123387336731, 22.174148559570312]","[1250049.9026252048, 852970.6705103712, 561383.5591694528, 348786.70698220865, 193602.72241637384, 93419.39594651935, 45309.74243590509, 35943.05936042086, 35854.652185565, 35848.90889010367, 35844.004889075935]"
32,4,0.0005,30,180.8524,128.55962,-0.05857044458389282,22.138305597835117,"[22.15331768989563, 22.13773488998413, 22.1754949092865, 22.120535850524902, 22.162500143051147, 22.1402804851532, 22.160241842269897, 22.144593954086304, 22.06583285331726, 22.141669750213623, 22.200101137161255, 22.145236253738403, 22.124377965927124, 22.144195079803467, 22.122779846191406, 22.125630378723145, 22.094996213912964, 22.129981517791748]","[1364645.7458378822, 1135017.4172693777, 934311.0306529748, 761716.0796346206, 616286.1604803493, 493812.1105050832, 387333.33314427536, 295231.44404382166, 217386.81812909388, 153735.4075080172, 104241.52739439052, 68682.20237605332, 46704.79606635081, 37289.5554247194, 35862.00182079332, 35852.93811834743, 35845.78366102194, 35841.5660459027]"
32,4,0.0001,30,631.773,484.3429,-9.122034072875977,22.1151388724645,"[22.10509490966797, 22.192487955093384, 22.119779109954834, 22.171464920043945, 22.093713521957397, 22.091527462005615, 22.106745719909668, 22.130539894104004, 22.123165130615234, 22.132218599319458, 22.11690354347229, 22.15181565284729, 22.11691451072693, 22.102356433868408, 22.128617525100708, 22.10205078125, 22.108601093292236, 22.135120630264282, 22.113633632659912, 22.117846488952637, 22.08160948753357, 22.080804109573364, 22.1164653301239, 22.119338274002075, 22.095561027526855, 22.1064350605011, 22.087422609329224, 22.12595558166504, 22.110544681549072, 22.069432497024536]","[1464406.8879128003, 1412902.7177435863, 1362993.865703466, 1314321.1772993996, 1266806.7350061408, 1220423.044555131, 1175213.0798734308, 1131183.2327545034, 1088271.4030857668, 1046545.0959248772, 1005989.9456451283, 966603.0828244406, 928373.9935862445, 891323.676028589, 855349.5562056495, 820614.7566184498, 787031.298939001, 754547.8501381687, 723287.365711995, 693121.8049518969, 664108.5136036435, 636229.2886659048, 609403.3354769378, 583548.0875622611, 558526.5755663209, 534169.9072137692, 510404.82596718066, 487246.15604530566, 464658.71403350163, 442653.71023812774]"
