hidden_size,num_layers,learning_rate,num_epochs,rmse,mae,r2,avg_epoch_time,epoch_times,epoch_losses
32,3,0.005,30,181.18028,128.28236,-0.06270086765289307,20.74654448032379,"[20.784185886383057, 20.824403285980225, 20.7156765460968, 20.680744409561157, 20.760977029800415, 20.713279724121094]","[671049.9313058645, 66355.20413581148, 35844.634039333294, 35846.26490230644, 35856.15969848633, 35844.4467741454]"
32,3,0.001,30,180.98979,128.44241,-0.060398757457733154,20.828505624424327,"[20.82948899269104, 20.89880084991455, 20.86035180091858, 20.788358211517334, 20.862762212753296, 20.779448747634888, 20.87001633644104, 20.871570348739624, 20.775253772735596, 20.776280164718628, 20.801230430603027]","[1253038.4612274836, 855318.3299331332, 563072.8014422421, 350039.4584854326, 194489.23070542782, 93912.63278931197, 45474.21981958114, 35950.02583359631, 35847.08502770303, 35849.06712201381, 35846.30241653909]"
32,3,0.0005,30,180.85938,128.6765,-0.05900883674621582,20.79945052994622,"[20.770246982574463, 20.807990550994873, 20.768635034561157, 21.014079093933105, 20.808936595916748, 20.808215856552124, 20.884239196777344, 20.75403642654419, 20.761378049850464, 20.79957675933838, 20.77509355545044, 20.745022773742676, 20.867733478546143, 20.820816040039062, 20.725942850112915, 20.68698811531067, 20.84293270111084, 20.74824547767639]","[1365935.0968715884, 1136340.5879929722, 935497.1080786026, 762744.3992434839, 617211.0752464861, 494584.70103541214, 388047.54171926173, 295815.6347912118, 217857.6801405994, 154141.69064717522, 104517.6349287408, 68852.57540693658, 46795.7097024043, 37315.129853494305, 35870.62902738746, 35845.32198843477, 35846.07781356078, 35841.55384326918]"
32,3,0.0001,30,632.3295,484.78592,-9.139660835266113,20.76063715616862,"[20.804298639297485, 20.781781673431396, 20.748950958251953, 20.737782955169678, 20.748022079467773, 20.799893140792847, 20.84904909133911, 20.794623851776123, 20.679394245147705, 20.760467052459717, 20.803778886795044, 20.785162448883057, 20.848058223724365, 20.791231632232666, 20.82186269760132, 20.734982013702393, 20.798224925994873, 20.774311542510986, 20.685564279556274, 20.694502592086792, 20.721435070037842, 20.726338624954224, 20.788639545440674, 20.726415157318115, 20.724660634994507, 20.7077534198761, 20.725488901138306, 20.77508282661438, 20.765182971954346, 20.716174602508545]","[1465709.9528350164, 1414362.9419691593, 1364463.6560623636, 1315759.0300730076, 1268161.8178391103, 1221779.406386463, 1176554.5461670987, 1132482.6029868312, 1089552.5624573554, 1047819.1650433269, 1007208.0515403248, 967798.890991744, 929553.5435401883, 892436.079711381, 856503.292849345, 821699.6394394787, 788087.8428374045, 755575.612181018, 724261.6374010644, 694093.8310674808, 665063.6150765897, 637141.6221683952, 610307.0933704627, 584432.7448399973, 559397.8273403384, 535010.7887682519, 511225.0592291553, 488044.3560316594, 465437.5114074441, 443402.4488818573]"
32,3,5e-05,30,895.58356,729.40466,-19.665246963500977,20.753425931930543,"[20.789822578430176, 20.77511167526245, 20.727452993392944, 20.36867880821228, 20.78006672859192, 20.795440196990967, 20.774749755859375, 20.74041438102722, 20.69297218322754, 20.923715353012085, 20.81546449661255, 20.858429193496704, 20.714558601379395, 20.75605797767639, 20.783634662628174, 20.83037829399109, 20.7333505153656, 20.798953533172607, 20.71446919441223, 20.74397897720337, 20.815077304840088, 20.703251838684082, 20.77079677581787, 20.715796947479248, 20.78179407119751, 20.73911166191101, 20.739047050476074, 20.78944730758667, 20.726613759994507, 20.70414113998413]","[1479020.5634893558, 1452796.8994950873, 1427207.8958958788, 1401918.4253036298, 1376927.3715201966, 1352233.900996179, 1327810.4461142195, 1303683.1799774836, 1279881.9987888918, 1256329.6406591157, 1233129.2339400246, 1210146.1156693504, 1187487.072999113, 1165122.407341703, 1143044.7611302538, 1121243.0664915394, 1099743.1665444188, 1078556.260627047, 1057620.3431700328, 1037013.1069186681, 1016665.0109085017, 996660.4011923444, 976935.0649989765, 957467.4202033296, 938323.2552708788, 919460.9073672899, 900881.089229667, 882629.752200464, 864608.8993842113, 846902.6262963974]"
32,3,1e-05,30,1197.6746,1077.9132,-38.309513092041016,20.76243324279785,"[20.761391162872314, 20.73368525505066, 20.790488243103027, 20.814920902252197, 20.71168065071106]","[1491287.638202784, 1484974.1595251092, 1479760.3846035753, 1474598.2283706332, 1469346.7206775383]"
32,4,0.05,30,180.36542,130.12968,-0.05532848834991455,22.226732110977174,"[22.239301204681396, 22.18923306465149, 22.31221079826355, 22.2417151927948, 22.15120029449463]","[108741.98003977147, 35868.22781212153, 35868.07677263152, 35880.38786389214, 35872.35853609976]"
32,4,0.01,30,180.6592,128.78255,-0.05622231960296631,22.210711622238158,"[22.187770128250122, 22.203686714172363, 22.19765329360962, 22.25231695175171, 22.212131023406982]","[382581.5754954242, 35867.57175482204, 35850.89355455423, 35846.60524486558, 35846.44376529877]"
32,4,0.005,30,180.67526,128.62244,-0.05605483055114746,22.167282541592915,"[22.128055095672607, 22.19116473197937, 22.230457544326782, 22.127694606781006, 22.16609811782837, 22.16022515296936]","[671340.3318372169, 66295.21937247863, 35848.323809361355, 35857.77097004053, 35844.04334802086, 35854.658219649806]"
32,4,0.001,30,180.91887,128.43259,-0.05920851230621338,22.18806128068404,"[22.172791481018066, 22.163043975830078, 22.152982711791992, 22.16242551803589, 22.142354726791382, 22.2499098777771, 22.186493635177612, 22.179654359817505, 22.1731858253479, 22.192798376083374, 22.293033599853516]","[1253435.7483198007, 855527.5911230895, 563216.3108112719, 350072.8372530875, 194534.63532853438, 93934.76209055804, 45508.2926230618, 35953.44227180314, 35846.641335433225, 35852.09165361563, 35846.06693930813]"
