hidden_size,num_layers,learning_rate,num_epochs,rmse,mae,r2,avg_epoch_time,epoch_losses,rank_rmse,rank_mae,rank_r2,norm_epoch_time,weighted_epoch_time,loss_slope,rank_loss_slope,final_loss,final_epoch,rank_final_loss,combined_rank
100,3,5e-05,30,0.42,0.23,0.9999927282333374,15.78,"[32811.94768182413, 55.267583626066234, 16.06387883279977, 4.835572996904756, 1.6684368239902774, 0.9816761023179916, 0.8096403415410426, 0.7347730403744684, 0.7043941695005206, 0.6821083040612111, 0.6633002267500759, 0.6433996233309306, 0.6160679130024972, 0.5931946314829626, 0.5788164622064956, 0.5655635363983059, 0.5412996165204272, 0.5249792520647185, 0.49949500804937824, 0.48755344939705364, 0.48410974384014044, 0.45914807427505755, 0.4430807734698293, 0.4420545022435462, 0.42050673796716004, 0.4065939605568523, 0.40172987379002545, 0.3763679178839846, 0.3795482561400965, 0.3619625794652475]",1,1,2,0.37,0.04,-212.14,1.3,0.36,30,2,7.34
50,2,0.0001,30,0.53,0.41,0.9999899864196776,14.3,"[33932.106995955175, 50.313148681318395, 20.611721528702166, 10.981622727107924, 5.610483312668222, 3.100039157992042, 2.0554954267115084, 1.4718635886476485, 1.1478315748266192, 0.9646475242519971, 0.823374230365826, 0.7341535843214362, 0.6903387791856892, 0.6533127231802994, 0.6108218892528289, 0.5732768290827669, 0.5538967098945683, 0.5244069953685968, 0.5048568941717337, 0.48348929368286886, 0.4701721246736063, 0.4506835755454905, 0.4342230682502253, 0.42230260524366003, 0.4038524458649483, 0.39832097268942945, 0.3827538667810983, 0.369843154448297, 0.36222926440179004, 0.3506131661367271]",5,5,4,0.01,0.0,-219.43,1.2,0.35,30,1,16.2
100,2,0.0001,30,0.52,0.36,0.9999884366989136,14.41,"[16509.936249956685, 27.598385056049672, 7.226321836961962, 3.671907368835924, 2.2625589871526937, 1.5828012127091693, 1.2920267955027926, 1.0751264060768158, 0.9684989205383651, 0.84932418507534, 0.814388575287552, 0.7625411156504964, 0.6917971493798312, 0.6508518594803134, 0.6349953700674954, 0.6149424931520442, 0.5826861176133465, 0.5655899189108083, 0.539000730955715, 0.5123594544520886, 0.5074655189085854, 0.48271997225080415, 0.46583961518318695, 0.44991110158066455, 0.44283780544908824, 0.42889296738979893, 0.40723801077461463, 0.39626707101858927, 0.3864267835209012, 0.38199592145301164]",4,4,5,0.03,0.0,-106.75,2.0,0.38,30,3,18.0
