hidden_size,num_layers,learning_rate,num_epochs,rmse,mae,r2,avg_epoch_time,epoch_losses
100,2,0.1,30,181.91745,127.467804,-0.07111448049545288,18.11414818763733,"[47872.07426565912, 35994.41508503877, 36006.76199900531, 36002.989493024405, 36003.09768796696]"
100,2,0.05,30,180.51357,126.68719,-0.0469820499420166,18.196215009689332,"[59903.988529122034, 35923.78601913785, 35920.94182603328, 35932.61580234844, 35930.73172010397]"
100,2,0.01,30,181.50298,127.67638,-0.06558674573898315,18.148581743240356,"[153795.3767125825, 35859.18048975249, 35863.14209330863, 35856.458626959524, 35859.33713448204]"
100,2,0.005,30,180.70853,128.55368,-0.05636870861053467,18.143834590911865,"[266329.4240614712, 35848.94768407563, 35856.94189346513, 35852.11381417487, 35856.58057586803]"
100,2,0.001,30,59.52008,41.629898,0.8712117671966553,18.2461141983668,"[891363.4259560931, 227571.66610784407, 40707.82553320473, 21818.29983423891, 12808.327568753837, 5045.236419236296, 2024.60962937076, 1713.9885490252982, 1572.2881438180348, 1344.9173472208747, 1465.7165941858916, 1323.2661085191253, 1071.217259065553, 1019.8113821281617, 1237.5135469519935, 1425.3121160815376, 1234.3753715331898, 1181.7005590424267, 9874.047754466794, 7660.158266567247, 4004.6130564910354, 3369.091816373267, 3446.9522020348295, 3353.99222997807, 3286.098439429004, 3604.7615049187275, 3278.1607203171243, 3251.893071428657, 3468.835358465603, 3824.8528543497277]"
100,2,0.0005,30,16.258429,11.051031,0.9889625310897827,18.11608009338379,"[1142544.0048273744, 624526.601443095, 302998.3489270606, 114805.34573724071, 42420.83274581443, 24412.007359667117, 13820.748062367002, 5729.189185217479, 1794.4373359680176, 746.6967370255024, 455.4087391240628, 333.85152624215624, 244.96280080522513, 186.02373458698847, 166.21069136092757, 143.42279878388845, 132.4679733483552, 123.10637160927448, 164.4695584852102, 161.39053204616604, 156.9154486526048, 135.10640347225177, 132.57937753616983, 125.40572076892748, 117.38039788890093, 138.71962573200335, 131.5449343977016, 124.39159414224228, 125.98974964972666, 115.46248613382531]"
100,2,0.0001,30,180.8284,128.45195,-0.05786377191543579,18.561533955427315,"[1410733.6345353439, 1262539.7543326966, 1125482.5193265558, 999186.2097434498, 883618.81640625, 778716.7107413346, 684336.0179491334, 600063.481679858, 524286.884821063, 454616.0121281386, 390396.520136804, 331558.84937482944, 278149.67134194187, 230124.61057331468, 187516.38294576452, 150266.8492415649, 118389.94165891956, 91845.32225443078, 70617.78547128735, 54623.97631089656, 43798.917532708445, 37910.95744703535, 36029.106740093644, 35844.92992164579, 35846.12314442464, 35847.75113981155]"
100,2,5e-05,30,380.8182,294.44446,-2.8361704349517822,18.98619398276011,"[1448837.2179823963, 1371535.422369678, 1297269.4309327237, 1225761.5376637555, 1156917.3027429038, 1090820.3877763373, 1027418.4968528248, 966699.8395281796, 908775.9495172625, 853523.3102739493, 800919.5770759416, 751041.3736694868, 703842.8921602074, 659291.7641239082, 617312.6224072053, 577676.7811476529, 539892.1622373089, 503611.15357191593, 468704.78762963973, 435185.3313787868, 402995.4847460085, 372167.85387810454, 342714.81142748706, 314624.9245232328, 287887.0578432041, 262516.7180826112, 238493.4006784764, 215840.4011966089, 194537.24285062432, 174582.10282478167]"
100,3,0.1,30,182.61024,126.72782,-0.07873880863189697,20.111057615280153,"[47956.59300331882, 35999.526981870156, 36006.43132478806, 36002.20705097315, 35997.41962882629]"
100,3,0.05,30,181.98886,130.20477,-0.08039349317550659,20.262053966522217,"[59717.735389876056, 35929.13989244486, 35926.10767694332, 35935.090810184396, 35924.3778571916]"
