hidden_size,num_layers,learning_rate,num_epochs,rmse,mae,r2,avg_epoch_time,epoch_losses
50,2,0.1,30,179.58612,131.841,-0.046501755714416504,14.479581356048584,"[30953.69587727509, 20531.850514374444, 18997.75589402378, 17346.941249281037, 15820.565142768959, 14377.4478491071, 13240.790806016546, 27677.376083340707, 36187.66962736038, 36131.04038235194, 36129.0043933985, 36104.06549258836]"
50,2,0.05,30,15.543212,14.950834,0.9906712174415588,14.43162182966868,"[2416.7659432254245, 294.85514306553586, 248.10963753428652, 258.12508881159584, 261.1404828079549, 251.3667351954645, 248.240533272203, 246.26446881237152, 247.27850806689517, 238.25640377457614, 251.13171041872369, 243.1186187235175, 283.2093868563318, 243.92404121799012, 250.0921984730801, 239.9873714233102, 243.2175973779054, 247.91653396938338, 246.17226336522265, 255.24305682845707, 249.67006531464318, 261.49685698170947, 253.6858733995903, 249.50651914875255, 256.0332256390766, 253.9120800293673, 244.81181907922226, 245.48175240652108, 255.19838991541593, 248.4526078197129]"
50,2,0.01,30,3.3579457,2.4551034,0.9997164011001587,14.339335008903786,"[863.6957723094581, 75.45445077749189, 47.61480990571161, 34.35892914151, 28.56007270332361, 25.435099640428028, 22.501127197264843, 20.541451334758097, 18.298841066487686, 16.93504394894856, 16.291403622874853, 15.514374155242109, 14.165090985039013, 14.247537194804073, 13.846769974514126, 13.792418578058058, 14.066413019558082, 16.762411858273392, 12.176669854471484, 13.341621007562887, 13.457448498075461, 13.31708374232924, 13.333894063166534, 12.885872954953111, 12.968277129104694, 12.954976682598991, 12.902036626434857]"
50,2,0.005,30,1.2244028,1.0396721,0.999939501285553,14.314823524157207,"[1468.8172260305832, 41.5236863155227, 30.623556042824134, 24.71273024451378, 20.423363943466324, 17.819408531223452, 14.82894552912254, 13.609619547946451, 13.32317957404887, 12.440912780984341, 12.022546077999143, 11.379849066118014, 10.661825601723224, 10.430539044982645, 9.729937534979605, 9.61863277835861, 9.331749830930798, 9.086617390265257, 8.764777889139706, 8.45580660872869, 7.998700969872842, 7.817363079989077, 7.776789037736466, 7.569444921325209, 7.545577198673674, 7.519696168799775, 7.251352437743388, 7.268507070614708, 7.293258005170575, 7.132991159749603]"
50,2,0.001,30,0.4506325,0.23336005,0.9999930262565613,14.268322690327961,"[5716.834132463293, 11.745539777777992, 12.179412394192672, 4.855970377372944, 4.039186046043956, 3.832297184201584, 3.7250230371419293, 3.529599276690553, 3.377081825535167, 3.259941566423371, 3.1489632280958273, 3.0592677121815237, 2.922808021320209, 2.907905271782145, 2.746881452648327, 2.7551414955017974, 2.646168219235189, 2.5978555535100214, 2.5712904341358236, 2.507776934599634, 2.4753988179668998, 2.4346000884388124, 2.3530436023270638, 2.3431955534170736, 2.306482091852602, 2.2628480880348394, 2.2544046524036716, 2.2171270287078175, 2.1538101666841825, 2.0818649852205082]"
50,2,0.0005,30,0.46403292,0.3152762,0.9999918937683105,14.278799192110698,"[10978.425889338534, 16.009909466567844, 5.291748324776166, 3.1510956565804746, 2.420465822623408, 2.2153292608581583, 2.0562899931838254, 1.9719566199593002, 1.8976827041829598, 1.7775551914145935, 1.6987209313357956, 1.5290023285242846, 1.4745242294151841, 1.409639030905424, 1.3738731299852343, 1.321349169388942, 1.2827612250040825, 1.2680124617446067, 1.2072159747326723, 1.2074744746645132, 1.1619122337110699, 1.1047400740050513, 1.098448206638047, 1.0914769326036746, 1.029474693753118, 1.0225254856362658, 0.9897086177713657, 0.98262497801415, 0.9514035029737401, 0.9558689190749908]"
50,2,0.0001,30,0.5258938,0.40501136,0.9999899864196777,14.303018109003704,"[33932.106995955175, 50.313148681318395, 20.611721528702166, 10.981622727107924, 5.610483312668222, 3.100039157992042, 2.0554954267115084, 1.4718635886476485, 1.1478315748266192, 0.9646475242519971, 0.823374230365826, 0.7341535843214362, 0.6903387791856892, 0.6533127231802994, 0.6108218892528289, 0.5732768290827669, 0.5538967098945683, 0.5244069953685968, 0.5048568941717337, 0.48348929368286886, 0.4701721246736063, 0.4506835755454905, 0.4342230682502253, 0.42230260524366003, 0.4038524458649483, 0.39832097268942945, 0.3827538667810983, 0.369843154448297, 0.36222926440179004, 0.3506131661367271]"
50,2,5e-05,30,0.7360162,0.5782855,0.9999784827232361,14.3903111855189,"[60728.4627618519, 76.12205454368778, 42.75939734130447, 21.542909945284045, 7.979967742857389, 2.4781870070690344, 1.0122607580434906, 0.7111162049604344, 0.678478202251331, 0.6664655388502697, 0.6497491241570493, 0.6342217321116193, 0.6232694800161273, 0.6126688306568614, 0.5950386767172942, 0.5836045681132923, 0.5740289117975209, 0.5609606376759643, 0.5530509393287042, 0.538906441175879, 0.526286042849513, 0.5128195061506988, 0.5064027458940242, 0.4893555664942868, 0.48143818685591755, 0.47259430586224155, 0.46169274133898514, 0.44957141875132806, 0.4373850698697718, 0.4318384484250168]"
50,3,0.1,30,181.68423,129.443,-0.073830246925354,15.872236967086792,"[42139.55114213035, 36456.639868723774, 36405.56410863618, 36359.99628671705, 36270.10409905713]"
50,3,0.05,30,185.20602,124.52635,-0.10694032907485962,15.858218252658844,"[24532.908799850265, 20245.25930313044, 19346.744010825343, 18481.268917666774, 17603.784714311492, 16719.687497467974, 15838.14702746129, 15010.300945914989, 14216.91634518819, 13510.596896358973, 12824.721123091518, 12250.5043598908, 11760.813974780287, 11348.26443010022, 11221.980568765031, 10706.394628416503, 10569.310190950418, 10420.009256033918, 10303.45734151482, 34123.2554222007, 36246.25010467929, 36210.58994603053, 36169.54087782947, 36171.72407471769]"
50,3,0.01,30,5.824063,5.3412356,0.9986177682876587,15.806548099517823,"[1308.977934345473, 108.7852535235114, 76.47623836925034, 51.868035410754544, 52.266889369709006, 33.31569437499618, 32.909456526909395, 29.39547415806477, 26.72717132848407, 25.93817423565484, 23.54957852630945, 22.72363895982276, 22.28243030677651, 21.299344118688598, 19.680187285153853, 19.40209073590432, 19.19574241292781, 19.051168467269957, 18.075872038786937, 17.375108005045853, 16.699537223685883, 16.29970957584858, 16.3959919580718, 16.33381487680782, 16.342338807738535]"
50,3,0.005,30,4.1449227,3.402641,0.999559223651886,16.26215025583903,"[1943.0658548444053, 60.27778599764257, 44.05475793067593, 32.61833280152906, 28.634469373224864, 25.167198912887205, 21.580524120081265, 18.731784710778516, 17.49147348656567, 16.20067451378599, 15.099984666786064, 13.429555211002699, 12.862598806160083, 11.670322785316662, 11.142873012676315, 11.017453743455988, 10.707371655180562, 10.475166873085236, 10.301467778608528, 9.813128101078217, 9.800538031081365, 9.70915776388069, 9.276019061978614, 9.436783725785205, 8.981627707682778, 8.807225152545133, 8.393135134686867, 8.535410730393936, 8.207186984917044, 7.762844658942739]"
50,3,0.001,30,3.1274145,3.0866594,0.9996570348739624,16.575842404365538,"[5921.117954231961, 16.751297970493546, 7.878640012083551, 7.158288621906939, 6.6092000397361454, 6.239577126032449, 5.838636940550547, 5.6398765875563415, 5.31878820105708, 5.194925366061044, 4.823099095847124, 4.792853447590349, 4.7876067007688485, 4.510788637860048, 4.457638245468398, 4.391073688823022, 4.248637097356455, 4.027598192829915, 4.093989198816448, 3.9173473187073595, 3.980491924133176, 3.7458223077838664, 3.7890201374892487, 3.562908027897585, 3.6454512140079194, 3.44951059616488, 3.3481880383826303, 3.329740558353387, 3.2855707434337487, 3.2178866255217065]"
