hidden_size,num_layers,learning_rate,num_epochs,rmse,mae,r2,avg_epoch_time,epoch_losses
50,3,0.01,30,180.96791,128.80133,-0.06109517812728882,21.19035186767578,"[263929.4015894727, 35849.318223311915, 35850.98461860757, 35850.84384261885, 35853.44874206276]"
50,3,0.005,30,180.52469,128.78989,-0.054193973541259766,21.219939668973286,"[474218.5752923291, 36852.97420758243, 35853.26874885392, 35854.02082431577, 35846.42570115801, 35848.489891485355]"
50,3,0.001,30,25.20287,15.872816,0.9746161699295044,21.33067368666331,"[1136560.9695687774, 617129.80584317, 296077.6894211415, 110250.17684523403, 40433.300086808515, 26658.895624019173, 21639.30814861314, 16878.816093811303, 13556.857410980625, 11990.30628330947, 10708.83733307951, 9564.987021417077, 9336.7730049733, 8482.902458449118, 7542.679716584985, 7389.134232783422, 7078.286585270577, 5059.353206022338, 2079.2267773953067, 1323.9595950919988, 1159.5094286781211, 1047.5210523079577, 1008.4208153210352, 960.9715013327036, 925.9255107885886, 901.4400769362803, 878.9732189194084, 839.6970383829425, 899.508870620915, 796.6285090555791]"
50,3,0.0005,30,180.66676,128.6774,-0.05600219964981079,21.33902483720046,"[1298365.3032631688, 970509.085323417, 709184.6858539165, 507373.96460920444, 347689.1159572018, 221941.77679576623, 129606.68590828842, 70043.13011629196, 41498.582170111644, 35914.45512223556, 35841.78350516906, 35842.66348919598, 35846.471855063624]"
50,3,0.0001,30,374.454,289.75797,-2.7175588607788086,21.134343417485557,"[1448650.1601391921, 1370490.2188352894, 1295600.086790393, 1223433.0733829148, 1154128.0585084606, 1087518.5040682997, 1023733.1442668531, 962679.1131192003, 904374.0887605759, 848850.9063949918, 796031.0578943777, 746008.5566235671, 698673.5152156113, 654046.885985262, 612030.0147507846, 572314.9068768764, 534421.5256336995, 497996.0633784798, 462961.2202382983, 429348.04233760916, 397101.3230971957, 366246.4562807041, 336786.83612940094, 308706.7439380629, 282008.3225641376, 256709.944001177, 232796.26940118382, 210247.01485526405, 189106.40819886053, 169332.5623560743]"
50,3,5e-05,30,744.20337,567.6225,-12.970069885253906,20.031972146034242,"[1470236.9333378822, 1429990.8966634825, 1390997.9001944596, 1352760.3862752456, 1315183.9452101528, 1278298.1303561681, 1242112.3755884962, 1206582.5212285072, 1171827.452903248, 1137687.6809241949, 1104308.7207542986, 1071595.2887639874, 1039575.0963086791, 1008269.494626774, 977618.2571643014, 947688.5875835835, 918459.2636207014, 889911.6865191731, 862071.9592828875, 834898.138185726, 808427.470336381, 782670.4052691731, 757589.3731236354, 733214.1891801993, 709509.8458822325, 686485.7912373772, 664161.9830402224, 642486.7094406728, 621489.9644983283, 601109.06134433]"
50,4,0.1,30,180.5157,128.51703,-0.05317467451095581,21.33026580810547,"[80403.44149966844, 35900.50266289191, 35887.66236550943, 35888.24782912075, 35893.465179709885]"
50,4,0.05,30,181.12952,127.80075,-0.06031984090805054,21.474178075790405,"[113377.77267016281, 35872.13499164165, 35873.342768639974, 35869.658826536484, 35868.15866088867]"
50,4,0.01,30,180.93033,127.94249,-0.057717323303222656,21.401027250289918,"[263688.834914095, 35849.28334305276, 35852.6329101829, 35862.795821810396, 35849.456683163036]"
50,4,0.005,30,181.3484,127.594986,-0.06294894218444824,21.411123434702557,"[474863.98259938334, 36865.709015159104, 35849.63753766056, 35851.64102832511, 35846.029249632724, 35854.390742805845]"
50,4,0.001,30,180.90454,128.57587,-0.05942893028259277,21.353253973854912,"[1138600.1517723117, 618356.1020827647, 296855.3607652156, 110560.98096502712, 41642.26852996693, 35843.22407751625, 35846.82450446916, 35841.660403489026, 35850.06770944387]"
50,4,0.0005,30,180.72006,128.73767,-0.05708974599838257,21.29101531322186,"[1299117.3917422898, 971037.2944613128, 709602.1399810658, 507656.33294811, 347875.2806465782, 222068.4512294453, 129710.31108206537, 70100.4622450916, 41575.220110630886, 35924.036378419034, 35845.18185691334, 35844.028601500664, 35844.646983184146]"
50,4,0.0001,30,375.6909,290.68036,-2.7403337955474854,21.358251865704855,"[1450542.7562772925, 1373812.8589656113, 1299507.354138237, 1227152.5929141648, 1157665.7072103575, 1090961.264780636, 1027017.2147499318, 965789.3216685998, 907383.8888850983, 851719.9580888373, 798782.9131925491, 748594.0717538892, 701146.3814819868, 656370.8353319459, 614210.8435538346, 574391.3404493041, 536411.1683568163, 499930.1887708106, 464810.4112308952, 431131.01390642056, 398806.0919503957, 367880.66946557723, 338331.73357328057, 310196.0635810419, 283427.0654232908, 258043.04995607602, 234033.82341063386, 211442.45479453806, 190216.3226472946, 170368.6438094893]"
50,4,5e-05,30,743.69525,567.3137,-12.952568054199219,21.40260526339213,"[1469101.8913926037, 1428757.1675423034, 1389810.5073519377, 1351540.1614697052, 1313967.2542985808, 1277112.4207491812, 1240943.6799604257, 1205475.0762486353, 1170660.1707150654, 1136592.7066389192, 1103216.6939308133, 1070511.2422557315, 1038501.7619234443, 1007191.5067719705, 976596.0179875137, 946687.3803988128, 917439.8939768695, 888904.3087302129, 861088.4279731851, 833961.294674536, 807509.9063949918, 781765.8343425901, 756685.6806597981, 732313.5861336654, 708620.2147072871, 685632.1117972161, 663317.8148625137, 641697.8651576146, 620701.6807919964, 600335.4760251774]"
100,2,0.1,30,178.97173,129.90793,-0.0331653356552124,20.361694002151488,"[62685.31432545758, 35909.157507750664, 35915.21387051911, 35916.245363193826, 35918.00292129184]"
100,2,0.05,30,182.71976,127.19387,-0.08209985494613647,20.314916467666627,"[84011.4756197867, 35888.00139168152, 35885.03137820048, 35881.60935087912, 35881.3344006934]"
100,2,0.01,30,180.66173,128.32642,-0.05491316318511963,20.256706285476685,"[153764.9683772591, 35856.15706171427, 35858.72739247151, 35855.728038404704, 35861.49586999885]"
100,2,0.005,30,180.85059,128.4839,-0.05827367305755615,20.290927600860595,"[266835.67910420115, 35850.265933240866, 35856.10684977036, 35850.39381601925, 35852.40576131896]"
100,2,0.001,30,12.489048,8.393791,0.9946783185005188,20.38666676680247,"[886613.1514098322, 225806.8042141444, 40056.79027160911, 19529.085466776352, 5482.637249580117, 1545.8528851078067, 975.3833307834692, 779.1243608070773, 663.5950983106829, 572.2548675318473, 518.3703590001602, 469.86128539185336, 442.87712937723603, 414.04947179790145, 396.3428672049764, 375.23244135817066, 365.6901105376831, 352.7490866294855, 332.67265509596035, 307.64755648660866, 291.2312454209057, 278.3175061915119, 283.5246226113436, 282.5025453687235, 249.3016698068927, 231.04556797399272, 225.24883650145676, 220.94031750713373, 208.64994875026062, 213.95706748493893]"
100,2,0.0005,30,10.757427,7.3021564,0.9956105947494507,20.525924801826477,"[1137920.7277480213, 621599.9580547216, 301137.4093204148, 113829.07876466976, 40053.98136961825, 23500.437887533262, 13263.950065571147, 5426.38173693861, 1994.7288365738882, 940.277872078804, 602.4913985695381, 419.4257319743977, 299.9576008408351, 230.56289066107513, 192.6483977499487, 162.27583756977813, 144.63118248553255, 129.8560136457718, 118.59628316603894, 108.37998045011379, 99.97320666844148, 93.67901927694743, 89.00188481196045, 83.69922041164214, 79.25318941070523, 77.44209384937734, 74.6715301269397, 73.98758341105224, 68.64972318832531, 67.74101487804188]"
100,2,0.0001,30,180.84143,128.61363,-0.05863410234451294,20.47917628288269,"[1408026.8798956058, 1259669.1287271425, 1122835.9558798445, 996755.1580069596, 881398.5431393286, 776708.4828312637, 682541.7480127593, 598449.1532989902, 522798.7673776951, 453283.6267953398, 389148.6969287323, 330450.85611481644, 277164.9560163073, 229258.60049851597, 186737.57128693027, 149584.40220408878, 117811.65355485807, 91363.75223084829, 70242.82025546278, 54353.43485736431, 43641.61647266904, 37833.55046181491, 36023.71069695752, 35846.13984167107, 35841.06298288404, 35843.57646025945]"
100,2,5e-05,30,380.3997,294.17963,-2.8286774158477783,20.486532457669576,"[1447308.2328739082, 1369707.0956945962, 1295507.688472298, 1224068.0180386873, 1155309.4789420716, 1089280.1889755048, 1025962.5762656932, 965355.562380595, 907477.8094039983, 852285.43566628, 799775.5762145197, 749966.8671107396, 702859.9330649563, 658359.3215491949, 616438.0425508324, 576849.8439802811, 539124.5991658706, 502879.1383307178, 468009.03321165394, 434498.263616437, 402333.3592769173, 371562.5480349345, 342126.6249296363, 314068.80590926926, 287355.9725986797, 262018.7391725232, 238032.6020870292, 215395.841732908, 194129.04116061682, 174215.18393277496]"
100,3,0.1,30,180.91087,129.15057,-0.061176598072052,21.728241777420045,"[63092.79592242512, 35921.23511981548, 35911.79336801054, 35916.87757253855, 35916.88062669512]"
