hidden_size,num_layers,learning_rate,num_epochs,rmse,mae,r2,avg_epoch_time,epoch_losses,rank_rmse,rank_mae,rank_r2,norm_epoch_time,weighted_epoch_time,loss_slope,rank_loss_slope,final_loss,final_epoch,rank_final_loss,combined_rank
50,3,0.0001,30,0.62,0.37,0.9999849200248718,18.44,"[15143.85223824918, 38.63159645345534, 14.452993018137835, 6.547156891846566, 3.4991988225201527, 2.4469544787334043, 2.0936623655155904, 1.9063494519338695, 1.8027602645342835, 1.6596953627016948, 1.587864217246724, 1.471179357490921, 1.4134072119829664, 1.3704775103233657, 1.3041366200668403, 1.271029476466788, 1.213437451353687, 1.1745386038648624, 1.1252810629267718, 1.0915204711750508, 1.0566390015369924, 1.0393454823465043, 1.0058066450358332, 0.9885817635418058, 0.936260988193617, 0.9244312458858708, 0.8910526529190387, 0.8866852830737569, 0.8563189885978624, 0.8284879503985175]",7,3,8,0.46,0.05,-98.06,1.4,0.83,30,7,26.45
50,3,0.0005,30,0.53,0.4,0.9999905824661256,18.45,"[3715.559050297047, 16.55730773009132, 10.289749673209824, 8.415079587724824, 7.374204594894072, 6.440353514175195, 5.8105158778802215, 5.4296409339871765, 4.935863788721587, 4.6765370752518045, 4.279318838988281, 3.8823388502384053, 3.7747799776083744, 3.4201798589847265, 3.2779033288825303, 3.1208662899672643, 3.044108271356835, 2.865531493872038, 2.758919792448569, 2.765973223358043, 2.4776721098206074, 2.5430755306627018, 2.4014377929951474, 2.275276414804998, 2.265798325952362, 2.1345078082715556, 2.154773253012107, 2.0047792542225573, 2.0555291842180203, 1.8967213998975712]",3,4,3,0.47,0.05,-24.21,2.3,1.9,30,16,28.35
50,2,0.0001,30,0.78,0.5,0.9999769926071168,16.73,"[20230.053307635295, 74.73209363703644, 35.54735968183873, 13.108373454271707, 6.4243989048533825, 4.030509920782658, 2.7910500658415747, 2.1641130814833085, 1.7773982222216391, 1.5474666762287732, 1.4439027652542988, 1.3365205188371305, 1.220643877349672, 1.1902401440036707, 1.1074855055062174, 1.0373421363892465, 0.9981096820177827, 0.9361726819994091, 0.9183426258808987, 0.8744499331165316, 0.8246031211868059, 0.8278345440470667, 0.7736114496426193, 0.7728703354076608, 0.7397894572906855, 0.7251033004226903, 0.7028212459980587, 0.6834557345162419, 0.6768233409521524, 0.6744061035478252]",10,7,11,0.02,0.0,-131.27,1.2,0.67,30,3,32.2
