hidden_size,num_layers,learning_rate,num_epochs,rmse,mae,r2,avg_epoch_time,epoch_losses,rank_rmse,rank_mae,rank_r2,norm_epoch_time,weighted_epoch_time,loss_slope,rank_loss_slope,final_loss,final_epoch,rank_final_loss,combined_rank
100,2,0.0005,30,16.26,11.05,0.9889625310897828,18.12,"[1142544.0048273744, 624526.601443095, 302998.3489270606, 114805.34573724071, 42420.83274581443, 24412.007359667117, 13820.748062367002, 5729.189185217479, 1794.4373359680176, 746.6967370255024, 455.4087391240628, 333.85152624215624, 244.96280080522513, 186.02373458698847, 166.21069136092757, 143.42279878388845, 132.4679733483552, 123.10637160927448, 164.4695584852102, 161.39053204616604, 156.9154486526048, 135.10640347225177, 132.57937753616983, 125.40572076892748, 117.38039788890093, 138.71962573200335, 131.5449343977016, 124.39159414224228, 125.98974964972666, 115.46248613382531]",1,1,1,0.01,0.0,-13770.32,3.5,115.46,30,1,7.5
100,2,0.001,30,59.52,41.63,0.8712117671966553,18.25,"[891363.4259560931, 227571.66610784407, 40707.82553320473, 21818.29983423891, 12808.327568753837, 5045.236419236296, 2024.60962937076, 1713.9885490252982, 1572.2881438180348, 1344.9173472208747, 1465.7165941858916, 1323.2661085191253, 1071.217259065553, 1019.8113821281617, 1237.5135469519935, 1425.3121160815376, 1234.3753715331898, 1181.7005590424267, 9874.047754466794, 7660.158266567247, 4004.6130564910354, 3369.091816373267, 3446.9522020348295, 3353.99222997807, 3286.098439429004, 3604.7615049187275, 3278.1607203171243, 3251.893071428657, 3468.835358465603, 3824.8528543497277]",2,2,2,0.05,0.0,-7377.25,3.9,3824.85,30,2,11.9
100,2,0.05,30,180.51,126.69,-0.0469820499420166,18.2,"[59903.988529122034, 35923.78601913785, 35920.94182603328, 35932.61580234844, 35930.73172010397]",6,5,3,0.03,0.0,-4793.77,4.1,35930.73,5,35,53.1
