hidden_size,num_layers,learning_rate,num_epochs,rmse,mae,r2,avg_epoch_time,epoch_losses,rank_rmse,rank_mae,rank_r2,norm_epoch_time,weighted_epoch_time,loss_slope,rank_loss_slope,final_loss,final_epoch,rank_final_loss,combined_rank
100,4,0.0005,30,10.8,6.68,0.9958921670913696,23.69,"[1138733.7401832014, 622094.5364824986, 301534.62570683507, 114028.4999440289, 42458.71100479859, 35132.92089390651, 22158.818561803826, 12927.998571021068, 4250.853190994679, 1229.2080744590821, 560.4237459243385, 315.3647123702749, 201.049945035746, 144.93709212971046, 112.67211787981758, 98.65873002797755, 85.17184993657223, 86.65605609961602, 75.77973299704524, 72.38702375623987, 69.16009808009629, 61.05945321585674, 59.64172872315328, 59.832926076377326, 58.19640142200555, 55.477728669820394, 50.609960193587185, 54.800428680327265, 65.76384648439925, 53.0141550022702]",2,1,1,0.98,0.1,-13831.96,3.1,53.01,30,1,8.2
100,2,0.0005,30,10.76,7.3,0.9956105947494508,20.53,"[1137920.7277480213, 621599.9580547216, 301137.4093204148, 113829.07876466976, 40053.98136961825, 23500.437887533262, 13263.950065571147, 5426.38173693861, 1994.7288365738882, 940.277872078804, 602.4913985695381, 419.4257319743977, 299.9576008408351, 230.56289066107513, 192.6483977499487, 162.27583756977813, 144.63118248553255, 129.8560136457718, 118.59628316603894, 108.37998045011379, 99.97320666844148, 93.67901927694743, 89.00188481196045, 83.69922041164214, 79.25318941070523, 77.44209384937734, 74.6715301269397, 73.98758341105224, 68.64972318832531, 67.74101487804188]",1,2,2,0.2,0.02,-13693.5,3.5,67.74,30,2,10.52
100,2,0.001,30,12.49,8.39,0.9946783185005188,20.39,"[886613.1514098322, 225806.8042141444, 40056.79027160911, 19529.085466776352, 5482.637249580117, 1545.8528851078067, 975.3833307834692, 779.1243608070773, 663.5950983106829, 572.2548675318473, 518.3703590001602, 469.86128539185336, 442.87712937723603, 414.04947179790145, 396.3428672049764, 375.23244135817066, 365.6901105376831, 352.7490866294855, 332.67265509596035, 307.64755648660866, 291.2312454209057, 278.3175061915119, 283.5246226113436, 282.5025453687235, 249.3016698068927, 231.04556797399272, 225.24883650145676, 220.94031750713373, 208.64994875026062, 213.95706748493893]",3,3,3,0.16,0.02,-7430.99,4.5,213.96,30,5,18.52
