method_type,hidden_size,num_layers,learning_rate,num_epochs,rmse,mae,r2,avg_epoch_time,epoch_losses
RNN,100,2,0.0005,30,18.604412,12.775694,0.9886122941970825,97.6045427719752,"[455799.29474754597, 8406.958023446814, 297.070110412466, 160.1483482070099, 131.22966073548278, 121.28641725302342, 123.69868387301581, 122.17054628341893, 126.10338607348785, 116.77112000875435, 135.78226819600923, 119.9280291863021, 125.48912370666977, 120.62635424999004, 127.07657334891479, 140.67559286609384, 136.5001464409786, 131.11311691571876, 136.13640565288577, 128.87000628069038, 128.90939470050193, 135.48781056179726, 137.1156499284573, 135.9331390993839, 149.5853716026866, 140.50683092961654, 158.7764222797107, 160.08726625776222, 185.31594695234315, 174.87381260370842]"
LSTM,100,4,0.0005,30,6.8655415,3.5728083,0.998489499092102,120.91055801709493,"[454584.69021662755, 11396.943617664449, 355.02849668797376, 101.20844522728021, 67.83467637901678, 57.645133299199706, 55.92481906610046, 46.532047895009974, 42.509034632334924, 42.80989013929687, 35.15648357113163, 30.830527863897913, 29.341163384193987, 30.71814333122882, 32.97333526109579, 27.355859101964, 32.596529914378365, 27.28433149032281, 26.295319836464287, 28.821211728932283, 34.84063147366184, 28.239953650363162, 22.119124494023634, 24.689607864664506, 23.751236794530882, 23.797794755443707, 34.69763653828127, 51.03027914453248, 34.74936337822233, 22.59406754815731]"
GRU,100,3,0.0005,30,11.339015,6.3419714,0.9960747957229614,117.05407531261444,"[455231.4120419891, 11293.879780578383, 261.2007551891651, 116.79541324725746, 101.25832056931526, 101.23078027548833, 92.18078007173793, 89.59829003478465, 84.14662550843846, 79.64164345728308, 80.45706918897139, 67.38301516931537, 67.09111131681003, 66.15893062175081, 66.44310698126299, 65.03534896532018, 67.31681909854917, 71.74648059287802, 72.40753811981132, 62.5782067447865, 75.4647447698657, 68.8505838758522, 71.17046992086873, 69.58352111905849, 67.39650691667099, 67.83947793086917, 69.46372477528517, 76.76187937920082, 69.52914281276158, 67.09625036283174]"
Conv1D,100,2,0.01,30,1.4108285,1.1371738,0.9999231696128845,94.60208059208733,"[125.22951522743661, 13.977235163490109, 9.402753331628011, 8.072908318132507, 7.477895395318092, 6.68356025556821, 6.130530296214515, 5.6004338468337425, 4.856925056662815, 3.6586792795356926, 3.4539489431901518, 3.4999123959419944, 3.502323858188762, 3.4695805043996386, 3.430379266081671, 3.4681309752377745, 3.4367079122042656, 3.4266393659644927, 3.4927411252967016, 3.4356903259687175, 3.401904530012663, 3.4006663470472027, 3.466747484639287, 3.4090495163208314, 3.465220009577485, 3.440947231441818, 3.4462353297719988, 3.4533999162642224]"
MLP,100,3,5e-05,30,0.22650138,0.20195279,0.9999984502792358,79.27504464785258,"[6248.563002833396, 1.6611990165439239, 0.7281514093838743, 0.6273589416408879, 0.5500543559045238, 0.489880424503732, 0.43563593002881207, 0.3900922271713476, 0.3485163682611867, 0.3119524738071392, 0.281567355911493, 0.25620287617996745, 0.23181499331995445, 0.21202993024936426, 0.1942167001765555, 0.18119920191557096, 0.17016279341806836, 0.16052692071879401, 0.15263063611742164, 0.1445170775625118, 0.13976342777190742, 0.13438416194017208, 0.12919822899068215, 0.12610735217008937, 0.12273686275250464, 0.1208159426137959, 0.11730399914337851, 0.11598610295199467, 0.11282468838111932, 0.11153438327388406]"
