hidden_size,num_layers,learning_rate,num_epochs,rmse,mae,r2,avg_epoch_time,epoch_losses,rank_rmse,rank_mae,rank_r2,norm_epoch_time,weighted_epoch_time,loss_slope,rank_loss_slope,final_loss,final_epoch,rank_final_loss,combined_rank
100,3,0.0005,30,10.68,6.84,0.9961681365966796,22.88,"[1140825.723517672, 623556.2029672147, 302359.2624842215, 114475.43330323332, 42535.414508003334, 31949.70133085959, 17100.040484116067, 7676.550024977938, 2448.570830318605, 850.0780130218731, 441.62793236658564, 278.4145523180868, 175.60677680542375, 129.4913330115866, 122.28002956483562, 90.57174673572378, 84.02234154705397, 88.676287053584, 80.50743314682396, 73.85633825611599, 109.38268199790774, 109.56213478399155, 90.08475804263848, 84.12075032951009, 87.61308249271593, 83.89192771020154, 78.14292782278301, 79.2233277131116, 100.68047030907792, 104.9539245252526]",1,1,1,0.74,0.07,-13803.36,3.0,104.95,30,2,8.07
100,2,0.0005,30,14.43,10.81,0.9932520985603333,21.95,"[1140698.1336909798, 623318.1916578534, 302346.8338671022, 114391.62117317566, 39664.006494513764, 19120.36965525931, 9361.749009253157, 3491.6694192886353, 1186.3842244044142, 665.4729968011379, 435.40222638975587, 302.50019763286457, 235.54645875877168, 190.41201217257822, 161.66200344179916, 152.0399441885636, 139.80542344544654, 125.59849091401267, 114.03577290950383, 109.03582126643981, 105.05791919083053, 100.15679912692075, 125.12222403144732, 116.39422464071403, 111.1839535193412, 104.38686939215036, 98.52043895078538, 91.92696131420968, 92.97918096418985, 96.06998052295118]",2,3,2,0.56,0.06,-13685.1,3.2,96.07,30,1,11.26
50,3,0.001,30,16.68,10.71,0.9901303052902222,21.16,"[1140335.3430591566, 619464.186335801, 297491.52572965, 110897.28446753889, 41663.96334718929, 35843.11588257369, 34808.111970593316, 25892.961392131954, 20191.803764076732, 14510.77095784683, 11260.334879279657, 9686.212802104033, 9156.39699850957, 8259.451016038787, 7729.597399711609, 7495.373140335083, 7366.0594830866985, 7619.628504157587, 6822.505213662526, 2544.821182359254, 2077.4853946345343, 2169.162795526492, 1670.3011314379596, 1238.03350168857, 1062.3697514284127, 837.7800266352283, 680.0615456859098, 658.9001698980685, 596.8037600610975, 410.58545720056674]",3,2,3,0.41,0.04,-13938.91,2.9,410.59,30,6,16.94
